category_id,category_name,k_study_hits,n_study_total,K_background_hits,N_background_total,gene_ratio,bg_ratio,fold_enrichment,odds_ratio,odds_ratio_ci_low,odds_ratio_ci_high,p_value,study_items,q_value
00020,Citrate cycle (TCA cycle),3,107,13,780,3/107,13/780,1.6822429906542056,1.9125,0.5177442645357886,7.064600229380557,0.2590828047888064,"K00240,K00241,K03737",1.0
03018,RNA degradation,3,107,13,780,3/107,13/780,1.6822429906542056,1.9125,0.5177442645357886,7.064600229380557,0.2590828047888064,"K03654,K03666,K22468",1.0
00630,Glyoxylate and dicarboxylate metabolism,4,107,20,780,4/107,20/780,1.4579439252336448,1.5946601941747574,0.5228151447256254,4.8639393111307365,0.289525195542939,"K00104,K01091,K11472,K11473",1.0
01502,Vancomycin resistance,2,107,8,780,2/107,8/780,1.822429906542056,2.1174603174603175,0.42177129093083704,10.63049641459448,0.3020759369202672,"K08641,K18346",1.0
00740,Riboflavin metabolism,2,107,8,780,2/107,8/780,1.822429906542056,2.1174603174603175,0.42177129093083704,10.63049641459448,0.3020759369202672,"K03186,K09474",1.0
00720,Other carbon fixation pathways,3,107,15,780,3/107,15/780,1.4579439252336448,1.5889423076923077,0.440920954905878,5.72605504248149,0.3394207834352033,"K00240,K00241,K03737",1.0
00460,Cyanoamino acid metabolism,1,107,3,780,1/107,3/780,2.4299065420560746,3.1650943396226414,0.28449418393370846,35.21274860594546,0.3580588733876682,K05349,1.0
04931,Insulin resistance,1,107,3,780,1/107,3/780,2.4299065420560746,3.1650943396226414,0.28449418393370846,35.21274860594546,0.3580588733876682,K09667,1.0
00380,Tryptophan metabolism,1,107,3,780,1/107,3/780,2.4299065420560746,3.1650943396226414,0.28449418393370846,35.21274860594546,0.3580588733876682,K01426,1.0
00500,Starch and sucrose metabolism,3,107,16,780,3/107,16/780,1.366822429906542,1.4644970414201184,0.4103237142578816,5.226974483323035,0.3796334765851775,"K01208,K05349,K25026",1.0
00360,Phenylalanine metabolism,1,107,4,780,1/107,4/780,1.822429906542056,2.106918238993711,0.21713387542694085,20.44408988268617,0.4464600323934846,K01426,1.0
02024,Quorum sensing,3,107,19,780,3/107,19/780,1.1510083620265616,1.1844951923076923,0.33923884851176794,4.135814240483035,0.4959494508762371,"K01580,K03666,K10914",1.0
00250,"Alanine, aspartate and glutamate metabolism",3,107,19,780,3/107,19/780,1.1510083620265616,1.1844951923076923,0.33923884851176794,4.135814240483035,0.4959494508762371,"K00259,K00262,K01580",1.0
