category_id,category_name,size,ES,NES,p_value,leading_edge_size,leading_edge_genes,q_value
M00609,"Cysteine biosynthesis, methionine => cysteine",3,0.4766582184034002,0.7845803348712101,0.729,2,"K00789,K07173",0.8653170731707317
M00024,"Phenylalanine biosynthesis, chorismate => phenylpyruvate => phenylalanine",3,0.46774597999512474,0.7699107734856155,0.741,1,K14170,0.8654879999999999
M00025,"Tyrosine biosynthesis, chorismate => HPP => tyrosine",3,0.46774597999512474,0.7699107734856155,0.741,1,K14170,0.8654879999999999
M00020,"Serine biosynthesis, glycerate-3P => serine",3,-0.46471124477544945,-0.7585737377592963,0.7574850299401198,2,"K00831,K01079",0.8709399383052078
M00093,"Phosphatidylethanolamine (PE) biosynthesis, PA => PS => PE",3,-0.45213646902946736,-0.7380472393232108,0.7704590818363274,3,"K00981,K01613,K00998",0.8709399383052078
M00346,"Formaldehyde assimilation, serine pathway",4,-0.41347149858969356,-0.7389400759361006,0.7720364741641338,1,K00024,0.8709399383052078
M00854,"Glycogen biosynthesis, glucose-1P => glycogen/starch",4,-0.4115308151093482,-0.7354717623927832,0.7750759878419453,4,"K00703,K00975,K00700,K00963",0.8709399383052078
M00015,"Proline biosynthesis, glutamate => proline",3,0.44352434580988753,0.7300419175077705,0.783,3,"K00286,K00147,K00931",0.8709399383052078
M00565,"Trehalose biosynthesis, D-glucose-1P => trehalose",3,0.4421994037760958,0.7278610603979545,0.784,3,"K00703,K00975,K00700",0.8709399383052078
M00975,"Betaine degradation, bacteria, betaine => pyruvate",3,-0.445842994368984,-0.7277740543069904,0.7874251497005988,3,"K00600,K01752,K01754",0.8709399383052078
M00632,"Galactose degradation, Leloir pathway, galactose => alpha-D-glucose-1P",4,0.40457256461232144,0.6987699186716204,0.8167487684729065,4,"K01784,K00849,K00965,K01785",0.896581354864995
M00956,"Lysine degradation, bacteria, L-lysine => succinate",7,0.34584313465098804,0.6856606678387731,0.8267716535433071,5,"K00137,K09251,K00135,K01582,K07250",0.9008109060994242
